pref,city,2022-04-16
北海道,北海道,2376
北海道,札幌市中央区,499
北海道,札幌市北区,202
北海道,札幌市東区,137
北海道,札幌市白石区,116
北海道,札幌市豊平区,125
北海道,札幌市南区,65
北海道,札幌市西区,108
北海道,札幌市厚別区,59
北海道,札幌市手稲区,51
北海道,札幌市清田区,47
北海道,函館市,57
北海道,小樽市,63
北海道,旭川市,126
北海道,室蘭市,15
北海道,釧路市,25
北海道,帯広市,57
北海道,北見市,20
北海道,夕張市,2
北海道,岩見沢市,23
北海道,網走市,5
北海道,留萌市,9
北海道,苫小牧市,41
北海道,稚内市,4
北海道,美唄市,2
北海道,芦別市,6
北海道,江別市,55
北海道,赤平市,5
北海道,士別市,6
北海道,名寄市,6
北海道,三笠市,1
北海道,根室市,2
北海道,千歳市,43
北海道,滝川市,14
北海道,砂川市,7
北海道,深川市,4
北海道,富良野市,8
北海道,登別市,20
北海道,恵庭市,26
北海道,伊達市,7
北海道,北広島市,23
北海道,石狩市,23
北海道,北斗市,6
北海道,石狩郡当別町,9
北海道,松前郡松前町,1
北海道,上磯郡知内町,1
北海道,亀田郡七飯町,9
北海道,茅部郡鹿部町,2
北海道,茅部郡森町,6
北海道,二海郡八雲町,2
北海道,山越郡長万部町,2
北海道,檜山郡江差町,2
北海道,檜山郡上ノ国町,2
北海道,檜山郡厚沢部町,1
北海道,奥尻郡奥尻町,2
北海道,瀬棚郡今金町,1
北海道,久遠郡せたな町,2
北海道,島牧郡島牧村,1
北海道,虻田郡ニセコ町,5
北海道,虻田郡喜茂別町,1
北海道,虻田郡京極町,1
北海道,虻田郡倶知安町,3
北海道,岩内郡共和町,1
北海道,岩内郡岩内町,1
北海道,古宇郡泊村,1
北海道,余市郡余市町,7
北海道,空知郡南幌町,1
北海道,空知郡奈井江町,1
北海道,夕張郡由仁町,1
北海道,夕張郡長沼町,11
北海道,夕張郡栗山町,10
北海道,樺戸郡浦臼町,1
北海道,上川郡東神楽町,14
北海道,上川郡当麻町,2
北海道,上川郡東川町,3
北海道,上川郡美瑛町,10
北海道,空知郡上富良野町,3
北海道,空知郡中富良野町,1
北海道,空知郡南富良野町,1
北海道,上川郡下川町,2
北海道,中川郡美深町,3
北海道,雨竜郡幌加内町,2
北海道,留萌郡小平町,1
北海道,天塩郡天塩町,3
北海道,天塩郡幌延町,1
北海道,網走郡美幌町,2
北海道,斜里郡斜里町,3
北海道,斜里郡清里町,2
北海道,斜里郡小清水町,1
北海道,常呂郡訓子府町,1
北海道,常呂郡置戸町,1
北海道,紋別郡遠軽町,3
北海道,紋別郡興部町,1
北海道,紋別郡雄武町,1
北海道,網走郡大空町,1
北海道,有珠郡壮瞥町,2
北海道,白老郡白老町,4
北海道,勇払郡厚真町,2
北海道,虻田郡洞爺湖町,1
北海道,勇払郡安平町,1
北海道,勇払郡むかわ町,1
北海道,沙流郡日高町,4
北海道,沙流郡平取町,1
北海道,新冠郡新冠町,1
北海道,浦河郡浦河町,3
北海道,様似郡様似町,2
北海道,幌泉郡えりも町,1
北海道,日高郡新ひだか町,4
北海道,河東郡音更町,13
北海道,河東郡士幌町,1
北海道,河東郡鹿追町,10
北海道,上川郡清水町,4
北海道,河西郡芽室町,7
北海道,河西郡中札内村,2
北海道,河西郡更別村,2
北海道,広尾郡大樹町,6
北海道,広尾郡広尾町,3
北海道,中川郡幕別町,3
北海道,中川郡池田町,7
北海道,十勝郡浦幌町,2
北海道,釧路郡釧路町,5
北海道,厚岸郡厚岸町,2
北海道,川上郡標茶町,1
北海道,川上郡弟子屈町,1
北海道,野付郡別海町,3
北海道,標津郡中標津町,4
北海道,標津郡標津町,2
北海道,目梨郡羅臼町,1
