pref,city,2022-03-19
徳島県,徳島県,296
徳島県,徳島市,56
徳島県,鳴門市,21
徳島県,小松島市,15
徳島県,阿南市,17
徳島県,吉野川市,16
徳島県,阿波市,18
徳島県,美馬市,14
徳島県,三好市,11
徳島県,勝浦郡勝浦町,5
徳島県,名東郡佐那河内村,4
徳島県,名西郡石井町,9
徳島県,名西郡神山町,6
徳島県,那賀郡那賀町,6
徳島県,海部郡牟岐町,8
徳島県,海部郡美波町,14
徳島県,海部郡海陽町,33
徳島県,板野郡松茂町,8
徳島県,板野郡北島町,5
徳島県,板野郡藍住町,6
徳島県,板野郡板野町,6
徳島県,板野郡上板町,5
徳島県,美馬郡つるぎ町,8
徳島県,三好郡東みよし町,5
香川県,香川県,330
香川県,高松市,92
香川県,丸亀市,25
香川県,坂出市,13
香川県,善通寺市,15
香川県,観音寺市,26
香川県,さぬき市,17
香川県,東かがわ市,15
香川県,三豊市,44
香川県,小豆郡土庄町,12
香川県,小豆郡小豆島町,21
香川県,木田郡三木町,6
香川県,香川郡直島町,1
香川県,綾歌郡宇多津町,3
香川県,綾歌郡綾川町,18
香川県,仲多度郡琴平町,5
香川県,仲多度郡多度津町,6
香川県,仲多度郡まんのう町,11
愛媛県,愛媛県,457
愛媛県,松山市,108
愛媛県,今治市,45
愛媛県,宇和島市,33
愛媛県,八幡浜市,11
愛媛県,新居浜市,34
愛媛県,西条市,41
愛媛県,大洲市,25
愛媛県,伊予市,17
愛媛県,四国中央市,38
愛媛県,西予市,21
愛媛県,東温市,18
愛媛県,越智郡上島町,3
愛媛県,上浮穴郡久万高原町,11
愛媛県,伊予郡松前町,8
愛媛県,伊予郡砥部町,10
愛媛県,喜多郡内子町,9
愛媛県,西宇和郡伊方町,8
愛媛県,北宇和郡松野町,2
愛媛県,北宇和郡鬼北町,5
愛媛県,南宇和郡愛南町,10
高知県,高知県,329
高知県,高知市,84
高知県,室戸市,5
高知県,安芸市,17
高知県,南国市,22
高知県,土佐市,12
高知県,須崎市,9
高知県,宿毛市,11
高知県,土佐清水市,7
高知県,四万十市,20
高知県,香南市,15
高知県,香美市,15
高知県,安芸郡東洋町,1
高知県,安芸郡田野町,1
高知県,安芸郡安田町,1
高知県,安芸郡北川村,5
高知県,安芸郡芸西村,3
高知県,長岡郡本山町,1
高知県,長岡郡大豊町,6
高知県,土佐郡大川村,2
高知県,吾川郡いの町,9
高知県,吾川郡仁淀川町,11
高知県,高岡郡中土佐町,9
高知県,高岡郡佐川町,4
高知県,高岡郡越知町,4
高知県,高岡郡日高村,3
高知県,高岡郡四万十町,43
高知県,幡多郡大月町,1
高知県,幡多郡黒潮町,8
